课程号,课程名称
0100002,波动力学
0100003,多体系统动力学
0100008,飞行器非线性控制方法
0100015,飞行器总体分析与设计
0100023,高等化学反应动力学
0100041,计算固体力学
0100042,计算流体力学基础
0100046,聚合物特性与装药结构完整性
0100047,空间环境与试验导论
0100050,连续介质力学A
0100058,细观力学
0100064,现代生物力学
0100065,现代实验力学
0100067,叶轮机内部流动环境与液压设计
0100069,有限元方法
0100075,振动力学
0100078,发射理论及应用
0100081,飞行器优化设计方法与实践
0100097,微纳尺度测量技术
0100098,水波动力学
0100099,微流控原理与应用
0100102,凸优化与自主轨迹规划
0100104,飞行器结构优化设计
0100105,信息融合与导航技术
0100107,航天器自主导航原理与应用
0100111,飞行器制导控制系统现代设计方法
0100112,先进航天测试技术
0100114,先进空天动力技术
0100115,飞行器自主控制与精确制导技术
0100116,行星大气进入动力学与控制
0100119,发射气体动力学
0100123,导航估计技术与应用
0100125,飞行器最优控制
0100131,飞行器动力学建模辨识与应用实践
0100134,航天器抵近任务轨道设计与可视化实践
0100135,高等流体力学
0100138,热流固耦合数值分析方法与实践
0100140,现代等离子体诊断
0100144,航天工程科技前沿
0100145,飞行器力学实验进展
0100146,多天体轨道动力学与控制
0100147,火箭导弹武器发射系统数值仿真
0100148,航空航天复合材料
0101011,（英）燃烧不稳定性概论
0101015,（英）流体力学
0101016,（英）航天器姿态分析力学与非线性控制
0101017,（英）网络系统的协同控制及其应用
0101018,（英）现代飞行器布局设计
0101019,（英）无人智群导论
0101020,（英）计算流体力学导论
0101021,（英）微纳尺度测量技术
0200001,安全生产技术
0200003,爆炸安全理论
0200009,弹塑性波与冲击动力学
0200020,非线性动力学数值仿真
0200030,燃烧爆炸及消防安全研究进展
0200035,机器人系统设计与应用
0200036,计算物理学A
0200038,可靠性数据分析
0200045,群智能系统网络与协同技术
0200046,燃烧与爆炸测试基础
0200048,燃烧与爆炸问题建模
0200053,数值模拟专题
0200056,损伤与断裂
0200058,微机电系统
0200065,武器弹药智能设计
0200066,武器系统测试技术
0200071,系统安全分析与评价技术
0200072,系统安全评估原理
0200075,现代传感与测试技术
0200082,消防工程
0200110,信息感知与对抗技术
0200117,目标易损性与毁伤评估
0200118,射频固态电路设计与应用
0200119,武器系统可靠性分析
0200124,爆炸力学计算方法
0200127,弹药工程前沿技术
0200128,智能系统理论及应用
0200129,含能材料基础理论与前沿技术
0200132,应用爆轰物理
0200141,现代探测技术
0200149,常规弹药装备研制项目管理
0200154,毁伤力学
0200155,高速碰撞与侵彻
0200168,生物医疗与微纳机器人技术
0200169,微纳生物测量技术
0200171,侵彻力学
0200172,瞬态测试技术
0200176,水中武器及其作用
0200179,结构抗爆炸与冲击防护设计理论
0200182,终点效应实验与测试技术
0200183,武器系统科技前沿
0200184,毁伤技术与弹药工程前沿
0200186,智能武器系统设计
0200188,现代火工理论与技术
0200191,智能感知与认知基础
0200192,目标毁伤与评估技术
0201011,（英）材料动态力学行为
0201020,（英）动态测试技术
0201021,（英）计算力学
0300001,流体仿真与应用
0300002,内燃机性能仿真与测试
0300007,车联网技术
0300008,虚拟仪表技术
0300010,车辆电驱动理论与技术
0300013,车辆动力学
0300014,车辆多体动力学仿真
0300015,车辆性能数字仿真
0300016,车辆前沿技术
0300017,车辆振动噪声控制
0300018,车用电机驱动技术
0300025,动力机械控制工程
0300027,动力系统振动噪声理论与分析
0300028,多学科设计优化方法
0300029,发动机标定与在线故障诊断技术
0300031,复杂流动与传热数值模拟
0300032,高等传热传质学
0300049,机械结构有限元仿真与应用
0300050,结构强度与疲劳分析
0300052,控制系统现代开发技术
0300054,摩擦学理论
0300055,内燃机燃烧过程仿真
0300057,汽车轻量化
0300059,金属零件三维造型与增材制造
0300065,数字化制造中的建模与仿真技术
0300067,系统动力学
0300069,先进加工理论
0300072,现代测试技术
0300077,新能源动力系统技术
0300079,有限元法原理
0300086,实验设计与分析
0300090,数学思想方法及工程应用选讲
0300092,超快激光动力学
0300094,能源利用与环境保护
0300095,燃烧诊断技术原理与应用
0300096,车辆电子工程
0300109,智能生产与制造服务技术
0300116,光机电微纳制造技术
0300118,CAD/CAM工程设计技术
0300120,能源动力前沿
0300201,信息检索与科技写作
0300202,科技写作实训
0300203,机器人与智能制造
0300204,工程伦理
0300207,智能装备系统设计方法
0300210,先进制造科学与技术
0300211,大数据与人工智能制造应用
0300213,智能车辆理论与技术
0300214,工业软件设计与开发
0300218,智能决策支持系统开发
0300221,医工融合智能制造
0300224,数值传热仿真方法与应用
0300226,智能无人车辆技术
0300229,智能汽车高级辅助驾驶系统技术
0300232,储能科学与技术学科前沿
0300234,电池储能系统理论与技术
0300245,新能源汽车与车联网储能技术
0300246,无人车辆传感与测试技术
0300247,有限元仿真与应用实践
0300251,车辆理论与制造前沿
0300252,特种车辆工程实践
0300253,控制系统现代开发与实践
0300254,现代车辆试验与测试技术
0300255,无人车辆控制技术
0300256,智能制造工程实践
0300257,工业母机与工程实践
0300258,MBSE与装备总体设计工程实践
0300262,视觉感知和智能控制
0301001,（英）高等工程数学导论
0301002,（英）现代控制理论基础
0301004,（英）高等工程热力学和传热学
0301005,（英）计算流体力学
0301010,（英）现代测试技术
0301013,（英）工程管理
0301015,（英）现代车辆先进技术
0301016,（英）节能和新能源车辆技术
0301017,（英）智能车辆机器学习技术
0400004,光电薄膜与器件
0400007,微纳光学
0400008,高等光学
0400009,高等光电技术实验
0400017,薄膜原理与技术
0400019,现代光电图像处理方法
0400020,数字视频与实时图像处理技术
0400022,光学与光电检测系统
0400033,非线性信号处理与应用
0400036,光电子信息系统
0400037,超快光学
0400057,光学制造、检测与镀膜技术
0400061,光纤传感技术与系统
0400066,光电子信息探测技术与应用
0400069,自适应光学与空间光学
0400071,机器学习及医学图像分析
0400073,精密光学传感技术及仪器
0400075,多学科优化设计
0400076,现代光信息探测技术
0400078,数字成像系统性能评测
0400080,视觉SLAM技术
0400082,近代信息光学及新型应用
0400084,光电仪器现代设计
0400089,量子光电器件及应用
0400090,光电感知创新实验
0401001,（英）量子光学导论
0401003,（英）人工智能与生物特征识别
0401004,（英）生物医学中的光电子学
0401005,（英）微纳光电子器件/系统制造导论
0401006,（英）数字图像处理
0401008,（英）计算光学传感与成像理论
0500026,FPGA与SoPC设计基础
0500037,空中目标探测前沿技术
0500075,系统理论与人工系统设计学
0500082,现代信号分析
0500083,卫星通信理论与应用
0500087,卫星导航定位理论与方法
0500088,无线网络和移动计算
0500090,认知电子战原理与技术
0500093,高性能嵌入式可重构并行计算方法
0500094,高级机器学习
0500100,人工智能与大数据
0500111,光电信号处理
0500115,自适应信号处理
0500117,扩频测量方法与应用
0500120,无线通信与感知一体化技术
0500155,信道编码及其应用
0500157,雷达目标智能识别
0500158,空天通信系统
0500180,医工融合技术前沿
0500202,稀疏阵列信号处理
0500203,智能交通毫米波雷达信息处理
0500204,行星雷达原理与应用
0500207,统计推断与应用
0500212,移动通信技术理论与实践
0500216,图论及其应用
0500221,高性能FPGA数字处理技术
0500222,星载无源定位技术
0500224,智能信息处理技术
0500225,人工智能与网络空间安全
0501001,（英）统计信号处理基础
0501009,（英）FPGA与SoPC设计基础
0501011,（英）多源数据融合理论与应用
0501012,（英）语音信号数字处理
0501013,（英）通信网络基础
0501020,（英）移动通信
0600008,非线性控制系统
0600009,现代检测与测量技术
0600011,模式识别
0600018,自适应控制
0600019,多源信息滤波与融合
0600020,伺服驱动与控制
0600021,故障诊断与容错技术
0600024,卫星导航定位与地理信息系统
0600025,多智能体协同与控制
0600028,电力系统优化运行及控制
0600029,电能质量控制技术
0600030,机电控制系统的建模与仿真
0600040,嵌入式系统设计
0600041,智能检测技术
0600044,智能无人平台自主导航与控制
0600046,深度学习
0600048,最优化理论与方法
0600050,惯性器件与导航系统
0600054,复杂网络导论
0600056,飞行器制导与控制
0600060,智能计算系统
0600062,智慧能源与能源互联网
0600063,人工智能进展
0600064,群体智能与博弈对抗基础
0600067,现代电机调速及飞轮储能
0600068,军用地面无人系统
0600069,航天工程实践讲堂
0600070,人工智能：从算法到系统
0601004,（英）最优与鲁棒控制
0601005,（英）计算机与分布式控制系统
0601006,（英）多源信息滤波与融合
0601008,（英）现代电力电子学
0601009,（英）博弈论与控制
0601010,（英）机器人感知
0601011,（英）智能制造系统建模与仿真
0700001,机器学习
07000029,大学数学（下）
0700007,软件工程与软件自动化
0700008,计算理论
0700011,并行编程原理与实践
0700016,机器学习与知识发现
0700017,语言智能处理
07000208,大学数学（上，体优班）
0700022,算法与算法复杂性理论
0700030,社交网络分析
0700034,数据挖掘
0700035,无线网络与移动计算
0700038,嵌入式系统
0700040,智能优化方法
0700046,面向对象技术与方法
0700057,智能科学技术
0700082,人机交互原理与应用
0700083,智能媒体计算
0700084,图形引擎原理与实践
0700086,群体智能与仿真
0700090,计算机技术前沿
0700092,大模型：算法与实践
0700093,大数据可视分析
0700202,大数据技术前沿
0701002,（英）计算理论
0701004,（英）机器学习与知识发现
0701007,（英）算法与算法复杂性理论
0701008,（英）社交网络分析
0701011,（英）无线网络与移动计算
0800110,新型用户交互平台
0800115,智能金融平台
0900017,聚合物降解与稳定
0900023,材料改性与表面工程
0900024,材料成形CAD/CAM/CAE技术
0900026,薄膜技术
0900031,材料电化学工程基础
0900032,新能源和环境材料工程设计理论与应用
0900039,火药物理化学性能
0900047,爆炸理论与装药技术
0900049,炸药理论
0900050,含能材料研究进展
0900052,能源及环境材料设计计算与建模
0900066,材料分析测试与表征
0900067,有色金属材料及应用
0900072,聚合物纳米复合材料
0900073,阻燃化学与技术
0900074,绿色含能材料
0900080,含能材料物理化学性能
0900082,生物质材料及产品工程
0900083,材料分析测试技术综合实验
0900087,材料表面与界面
0900088,功能材料
0900090,先进材料分析测试技术应用实践
0900094,废旧和失效材料的资源化利用技术
0900095,能源材料工程实验
0900097,功能高分子与阻燃材料工程实验
0900098,高分子与阻燃材料成型加工案例与实践
0900100,生物医用材料技术
0900102,先进传感材料与器件
0900105,富氮材料的工程应用
0900107,材料信息学综合实践
0900201,材料科学
0900309,固体推进剂化学与技术
0900320,含能材料工程前沿
0900330,高能量密度材料合成与技术
0900333,发射药与装药技术
0901002,（英）材料加工理论
0901006,（英）光电材料与器件
0901007,（英）材料电化学测试与分析表征技术
0901008,（英）材料微结构分析与性能表征
0901012,（英）先进碳材料
0901013,（英）材料工程与力学性能
1000002,高等化工热力学
1000003,化工分离工程
1000009,波谱分析
1000011,催化科学与技术
1000012,应用电化学
1000013,反应器设计与应用
1000014,膜与膜过程原理
1000016,化工流程模拟与计算
1000021,现代分析化学
1000026,催化剂设计与制备工艺
1000027,高等化学电源工艺学
1000031,知识产权及化工专利撰写
1000037,计算材料学基础
1000041,生物催化工程
1000042,催化作用原理
1000043,生化工程原理
1000045,高等生化分离工程
1000046,微生物应用工程
1000047,现代生物技术
1000049,生物分子工程
1000050,制药工程工艺与设计
1000051,手性合成与手性药物技术
1000053,金属有机化学与应用
1000054,高等化工工艺学
1000056,高等有机化学A
1000057,化学反应工程分析
1000058,高等化工数学
1000059,有机化工材料学
1000060,传递过程原理
1000061,炸药理论与合成技术
1000062,化学工程与技术前沿
1000063,化学工程与技术学科创新实验
1000064,合成制药技术前沿
1000065,药物研发与注册管理
1000066,计算机辅助药物分子设计
1000067,天然药物研究与开发
1000068,纳米药物技术
1000069,生化制药工程
1000073,环境化学与污染控制
1000077,高等水处理工程
1000079,环境风险分析
1000080,核废物处理与环境保护
1000082,环境分析与监测
1000083,环境工程创新实验
1000084,能源利用原理与节能技术
1000087,新能源材料与应用
1000088,氢能技术与燃料电池
1000089,能源催化合成与转化
1000090,化工分离技术
1000091,二氧化碳化学转化前沿
1000094,化工过程模型化与先进控制
1000095,实验室安全与技术
1000096,先进合成方法与技术
1000097,制药工程创新实验
1000098,大气环境计算化学
1000103,无机合成与制备化学
1000104,有机合成设计
1000105,基础量子化学
1000108,纳米科学与技术
1000109,多金属氧簇化学
1000110,高等有机合成实验
100011007,新生研习与专业导论
100011008,学科专业导论
1000111,金属有机化学与催化
1000116,计算化学基础
1000117,基础电化学
100012001,流体力学核心贯通课I
100012002,流体力学核心贯通课II
100012006,创新实践引导
1000122,高等无机化学
1000123,高等有机化学专题
1000124,现代电化学研究方法
1000127,高等化学
1000128,数理方法
1000129,现代高分子化学与物理
1000130,催化化学
100013006,复变函数与积分变换
100013007,工程实践II
100013008,工程实践I
100013009,力学中数理方法（上）
100013010,科技阅读与写作
100013012,动力学与控制核心贯通课I
100013013,创新训练I
100013014,理论力学C
100013015,工程科学导论（专业导论）
100013017,工程实践II A
100013018,数理方法核心贯通课
100013101,理论力学A
1000132,现代分析测试技术理论与应用
1000133,现代分析测试技术实训
1000134,化学学科创新实验
1000135,晶体生长原理与技术
1000136,气溶胶与大气物理化学
1000137,拉曼散射的基本原理与分析应用
1000139,现代能量转化技术
100014003,工程力学
100014004,弹性力学B
100014007,航天工程概论
100014010,流体力学C
100014011,工程力学实验
100014012,动力学与控制核心贯通课II
100014013,固体力学核心贯通课I
100014014,创新训练II
100014015,材料力学C
100014016,飞行器智能感知与认知
1000141,催化原位表征原理与技术
100014101,材料力学A
100014108,自动控制原理A
1000142,纳米材料与能源
100015003,张量分析
100015004,数值分析基础
100015005,科学计算编程
100015006,结构力学B
100015007,工程热力学
100015008,刚体动力学
100015011,力学科研训练
100015014,面向对象程序设计
100015015,空气动力与飞行力学
100015016,航天器轨道动力学与控制
100015019,航天器智能控制技术
100015020,空间机器人技术
100015022,微机原理及应用B
100015024,飞行控制系统的原型系统技术A
100015025,自动控制元件
100015026,计算机控制原理
100015028,程序设计实践
100015033,燃料电池原理与技术
100015035,航空宇航推进系统概论
100015036,发射系统概论
100015037,现代控制理论B
100015038,电子技术应用与设计
100015041,专业创新实践训练
100015042,行星探测动力学与控制
100015043,力学中数理方法（下）
100015044,系统工程导论
100015045,固体力学核心贯通课II
100015047,航空航天工程-创新实践I
100015048,气体动力学基础
100015049,工程热力学A
100015050,传热与燃烧基础
100015051,智能结构技术
100015052,热学基础
100015056,测试技术B
100015057,科创实践I--智能飞行器技术
100015058,科创实践II--智能飞行器技术
100015102,弹性力学A
100015106,结构力学A
100015113,空气动力学A
100015117,航天器姿态动力学与控制A
100015122,微机原理及应用A
100015123,现代设计方法A
100016002,工程材料
100016003,计算固体力学
100016006,板壳理论基础
100016007,塑性力学基础
100016008,复合材料力学基础
100016012,优化设计原理
100016013,现代设计方法B
100016015,飞行器结构分析与设计
100016016,惯性导航技术
100016018,航天器最优估计原理
100016019,航天器系统与仿真
100016020,航天器轨道设计与优化
100016022,航天器测量与控制部件
100016024,航天空气动力学
100016025,航天器编队飞行理论
100016026,嵌入式系统原理
100016027,控制系统分析与设计
100016029,探测原理
100016031,飞行器制导与控制
100016032,CAE技术基础
100016036,无人机控制原理
100016038,航空航天测试技术
100016040,计算燃烧学
100016044,振动基础
100016045,弹射内弹道学
100016046,航天器发射技术
100016057,声学基础
100016058,行星际飞行轨道理论
100016059,面向学-研-赛-用一体的创新实践
100016060,飞机设计基础与空战理论
100016062,断裂力学
100016063,探测制导与控制创新实践
100016066,飞行器结构分析与设计 A
100016067,飞行器空气动力特性分析与设计
100016069,航空航天工程-创新实践II
100016070,火箭燃气动力学
100016071,固体火箭发动机原理
100016072,航天测试技术
100016073,燃烧前沿技术
100016075,等离子体基础与应用
100016078,航空燃气涡轮发动机原理
100016080,深空探测自主导航与制导
100016082,小天体探测动力学与任务设计
100016083,振动理论与测试技术
100016084,航天器动力学与控制B
100016086,航天飞行器系统分析与设计A
100016087,飞行器制导与自主控制
100016101,流体力学A
100016111,飞行力学A
100016133,现代控制理论A
100017010,飞行器系统分析与设计
100017011,计算流体力学C
100017013,结构动力学基础
100017025,航天测控原理与设计
100017037,发射系统设计
100020010,计算机科学与C语言程序设计
100020102,安全概论II
100020130,智能感知与信息处理
100021106,动态测试技术
100021109,终点效应学
100021118,毕业设计-弹药
100021121,工程流体力学
100021122,弹性力学 B
100021123,爆炸与冲击动力学
100021124,弹药概论
100021125,弹道学
100021128,工程实践II-弹药-创新实践
100021132,流体力学基础
100021202,爆轰数值计算方法与应用
100021206,炸药与装药
100021207,智能装备技术导论
100021211,智能装备工程概论
100022103,自动控制原理
100022107,传感与测试技术
100022121,毕业设计-武器
100022128,创新创业实践-武器系统综合实践I
100022132,测试与信号处理
100022133,武器系统设计理论与优化
100022141,最优化理论与方法
100022142,机器学习基础
100022143,自动目标识别技术
100022147,系统工程与设计
100022149,智能无人系统总体设计
100022203,微系统设计
100022204,移动机器人学
100022206,毁伤与评估原理
100022215,武器系统概论
100022216,流体力学
100022257,创新创业实践-武器系统综合实践Ⅱ
100023100,复变函数与积分变换
100023106,学科前沿与发展动态-工力
100023108,张量分析与连续介质力学
100023109,流体力学
100023111,计算力学基础
100023112,爆炸物理学
100023120,毕业设计-工力
100023122,高压科学与技术
100023125,力学中的数理方法
100023128,应力波基础
100023129,实验力学与动态测试技术
100023202,智能材料概论
100023204,振动力学
100023205,结构力学
100023209,有限元分析与应用
100023215,理论力学
100023216,材料力学
100024104,应用物理化学
100024110,燃烧学基础
100024121,毕业设计-特能
100024128,工科大学化学
100024129,含能材料学
100024130,含能元器件设计及制造
100024132,科研方法与科技写作
100024202,装备能源技术
100025101,信号与系统A
100025103,微机电系统技术基础
100025104,控制工程基础
100025122,毕业设计（论文）-探测
100025130,工程软件与程序设计
100025132,工程软件与程序设计
100025133,工程软件与程序设计
100026102,应用有机化学
100026103,工程流体力学及通风
100026104,安全系统工程学
100026107,防火防爆理论与技术
100026118,工程实践II-安全-创新实践
100026121,毕业设计(论文)
100026125,安全应急管理与法律法规
100026126,危险化学物质分析与化工安全
100026131,高速信号处理器
100026132,射频电路与微波天线技术
100026133,近感探测原理
100026135,传感与动态测试技术
100026136,信号与系统
100026137,工程实践Ⅱ-探测-创新实践
100026141,数字信号处理
100026144,数字通信技术
100026146,燃烧学基础
100026148,动力学系统稳定性
100027105,微机原理与接口技术
100027117,毕业设计-机电
100027118,创新创业实践-机电系统综合实践
100027124,机电控制工程基础
100027125,机器人学
100027126,数值计算与机器人应用
100027129,人工智能
100027135,机器人技术前沿与发展
100028001,算法设计与实践
100028003,智能驱动控制技术
100028004,机器学习
100028005,智能无人系统综合实践I
100028006,系统可靠性技术
100028008,智能无人系统综合实践II
100028009,世界兵器史
100028013,导航与制导技术
100028015,毕业设计-智能
100028016,智能无人系统概论
100031108,设计与制造基础 I
100031109,设计与制造基础 II
100031111,工程实践
100031112,项目创新实践 I
100031113,设计与制造表达实训
100031116,典型无人系统工程实践
100031118,智能机电系统应用工程实践
100031119,创造性劳动与工程体验
100031150,工程制图C
100031152,机械工程基础I
100031153,工程制图B
100031163,机械工程基础 III
100031203,数理方程与特殊函数
100031206,计算方法
100031207,工程热力学B
100031208,车用发动机构造与原理
100031209,流体力学B
100031210,复变函数与积分变换
100031211,复变函数与积分变换
100031213,计算方法
100031218,工程热力学
100031251,机械工程基础II
100031253,机械设计基础A
100031254,机械设计基础B
100031303,传热学
100031304,单片机原理与应用
100031305,自动控制理论基础
100031308,机械振动基础
100031311,传感与测试技术
100031312,制造技术基础训练A
100031313,制造技术基础训练B
100031314,制造技术基础训练C
100031315,制造技术基础训练D
100031317,传感与测试技术
100031319,传热学
100031350,机械设计基础综合实践
100032203,智能网联电动汽车技术
100032307,汽车车身结构与设计
100032315,设计与制造基础(III)（汽车制造工艺学）
100032421,汽车学
100032422,汽车工程创新综合实践
100032423,传感与测试技术实践
100032442,工程科学导论
100032446,多模态智能无人平台技术
100032447,智能车辆先进底盘系统及动力学控制
100032448,智能无人车辆总体技术
100032451,智能电动汽车产品开发与管理
100033201,装甲车辆工程专业导论
100033202,专业认知实习
100033302,专业认知与结构原理实习
100033307,装甲车辆行驶理论
100033308,装甲车辆设计
100033313,感知与数据分析
100033314,坦克火控技术
100033315,坦克防护技术
100033316,装甲车辆智能化技术
100033317,设计与制造基础 III（装甲车辆制造与工艺）
100033413,车辆快速性与控制
100033415,计算方法（英文）
100033416,基于ROS的无人移动平台软件开发与实践
100033417,矩阵分析
100033419,装甲车辆构造（坦克学I））
100033420,流体传动基础
100033421,嵌入式系统
100033422,机器学习
100033424,Matlab科学计算与程序设计
100033428,多轮驱动车辆技术
100033429,装甲车辆生产及工艺创新实习
100033432,装甲车辆混合动力技术
100033437,机械振动与声学基础（双语）
100033438,智能车辆导论
100034201,能源与动力工程专业导论
100034202,工程热力学A
100034301,燃烧学基础
100034305,现代设计方法
100034307,能源与动力机械基础
100034414,动力机械热动力学
100034415,设计与制造基础 III（动力方向））
100034416,流体机械原理
100034417,拆装与认知实践
100034420,新能源车用动力技术
100034421,制冷与低温原理
100034422,动力系统智能控制基础实践
100034423,动力系统智能控制基础
100034424,智能动力系统原理
100034425,智能动力系统设计
100034426,燃料电池应用技术
100034427,航空动力原理与设计
100034428,航空动力智能控制与测试
100034429,人工智能技术
100034430,碳捕集、利用与封存技术
100034431,低温制冷原理与技术
100034452,碳中和科学导论
100034453,工程热力学（双语）
100034454,热力学理论与工程应用
100034455,流体力学B
100034456,智能动力与新能源专业导论
100034457,计算燃烧学理论与实践
100034458,综合能源系统
100034459,低碳前沿制冷低温原理及技术
100034460,储能原理及应用
100035303,机械制造工程学A
100035304,机械制造装备设计
100035312,机电系统控制
100035313,机械装备拆装实习
100035314,设计与制造基础 III（数字化设计与制造）
100035437,智能制造概论
100036302,管理学
100036304,工程经济学
100036305,基础工业工程
100036308,系统工程学
100036310,人因工程学
100036311,生产计划与控制
100036313,质量管理
100036317,CAD/CAM
100036323,运筹学
100036324,制造系统感知分析与决策
100036325,智能制造工程导论
100036328,仿生机械学
100036329,ROS编程技术
100036330,流体力学与液压传动
100036332,智能车辆SLAM理论与技术
100036333,汽车结构与原理
100036334,设计与制造：智能无人车
100036337,汽车构造与设计
100036338,机械振动与声学基础
100036339,车辆工程导论
100036340,机械工程专业导论
100036341,工业工程专业导论
100036345,运筹学
100036346,认知实践
100036347,系统创新设计（双语）
100036348,知识管理与决策理论
100036349,智能机电系统设计与开发
100036350,流体力学
100036351,流体力学A
100036353,设计与制造：仿生机器人
100036354,博弈论
100036355,优化技术
100036356,建模理论与仿真技术
100036361,智能制造系统设计与运行控制
100036362,3D打印设备DIY设计与搭建
100036363,自然科学著作精读
100036364,传感器原理与选用
100036368,信号与系统
100036370,物流工程与供应链管理
100036371,设计与制造基础 III
100036411,智能生产系统实验
100036415,应用统计学
100040005,复变函数与积分变换
100040006,数理方程与特殊函数
100040008,应用光学课程实践
100040011,信号与系统
100040012,专业科技英语阅读
100040016,光学系统设计与工艺
100040017,光学系统设计与工艺实践
100040019,毕业设计（论文）
100041001,电动力学
100041004,晶体光学
100041005,导波光学基础
100041006,半导体物理
100041009,激光原理与技术
100041010,光电成像原理与技术
100041011,光电成像原理与技术实验
100041014,光纤通信原理与技术实验
100041015,非线性光学基础
100041016,激光系统设计
100041017,激光原理与技术实验
100041018,平板显示器件设计与制造
100041025,液晶与发光材料
100041027,光纤传感技术与应用
100041032,薄膜原理与技术
100041033,光电功能材料与应用
100041034,光电子电路设计
100041035,光电子信息系统综合实验
100041036,光纤技术基础
100041037,数字信号处理
100041038,微纳光学与技术
100041040,光电仪器电子学实验
100041046,光谱信息技术
100041047,虚拟现实技术
100041052,自动控制基础
100041053,精密机械设计基础
100041055,几何精度设计与检测
100041056,传感技术及应用
100041057,光学测量技术
100041058,精密机械零件常规设计
100041059,智能仪器与机器视觉
100041064,误差理论与数据处理
100041065,光电仪器应用与实践
100041066,自动控制基础实验与实践
100041067,光电成像中的非线性信号处理技术
100041068,光电导论与科技基础训练
100041069,光学中的量子理论与统计物理
100041071,光通信原理
